"Current route","Full production URL","Route source","Page title","WordPress content type","Current production status","Current Astro status","Current completion status","Current layout","Proposed action","Proposed destination URL","Recommended index status","Reason","Existing internal-link count","Existing canonical","Sitemap presence","SEO title present","Meta description present","Unique content level","Exact duplicate target","Near-duplicate target","Real business value","Possible search value","Possible backlink risk","Image dependency status","Hotlinked image count","Missing image count","Demo/template indicators","Foreign company/location indicators","Unverified business claim indicators","Portfolio authenticity status","Owner information required","Final decision status"
"/blog/page/3/","https://rkrenosolution.com/blog/page/3/","generated-route","Blog - RK Reno Solution - Page 3","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","MERGE_AND_301_REDIRECT","/blog/","301 redirect","Pagination should consolidate into the redesigned blog/archive experience.","4","https://rkrenosolution.com/blog/page/3/","NO","YES","NO","MEDIUM","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
"/blog/page/4/","https://rkrenosolution.com/blog/page/4/","generated-route","Blog - RK Reno Solution - Page 4","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","MERGE_AND_301_REDIRECT","/blog/","301 redirect","Pagination should consolidate into the redesigned blog/archive experience.","4","https://rkrenosolution.com/blog/page/4/","NO","YES","NO","MEDIUM","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
"/career/","https://rkrenosolution.com/career/","generated-route","Career - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported or obsolete utility content has no verified business purpose.","11","https://rkrenosolution.com/career/","YES — page-sitemap","YES","YES","HIGH","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","NO IMAGE DEPENDENCY FOUND","0","0","Vastcon; PCL/EllisDon demo","Sydney; Melbourne; Australia/NSW","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
"/cart/","https://rkrenosolution.com/cart/","WordPress-export","Cart","page","200","404","NOT REVIEWED","not generated","REMOVE_AND_410","","gone (410)","Published WooCommerce utility exists in the export but has no supported RK Reno sales function.","0","","NO","YES","NO","LOW","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","NO IMAGE DEPENDENCY FOUND","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
"/category/commercial/","https://rkrenosolution.com/category/commercial/","generated-route","Commercial - RK Reno Solution","taxonomy","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","KEEP_NOINDEX_TEMPORARILY","","noindex,follow","Thin archive may aid navigation but needs article-count and taxonomy strategy review. Linked unique article count: 2; unique introduction not established.","16","https://rkrenosolution.com/category/commercial/","YES — category-sitemap","YES","NO","MEDIUM","","","MEDIUM","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","Category/tag retention strategy","PROPOSED_NOT_IMPLEMENTED"
"/category/hvac-guides/","https://rkrenosolution.com/category/hvac-guides/","generated-route","HVAC Guides - RK Reno Solution","taxonomy","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","KEEP_NOINDEX_TEMPORARILY","","noindex,follow","Thin archive may aid navigation but needs article-count and taxonomy strategy review. Linked unique article count: 3; unique introduction not established.","17","https://rkrenosolution.com/category/hvac-guides/","YES — category-sitemap","YES","NO","MEDIUM","","","MEDIUM","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","Category/tag retention strategy","PROPOSED_NOT_IMPLEMENTED"
"/category/interior-design/","https://rkrenosolution.com/category/interior-design/","generated-route","Interior Design - RK Reno Solution","taxonomy","200","200","NEEDS CONTENT","BaseLayout + generic legacy-content renderer","KEEP_NOINDEX_TEMPORARILY","","noindex,follow","Thin archive may aid navigation but needs article-count and taxonomy strategy review. Linked unique article count: 1; unique introduction not established.","5","https://rkrenosolution.com/category/interior-design/","YES — category-sitemap","YES","NO","EXACT_DUPLICATE","/category/interior-design/","","MEDIUM","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","Category/tag retention strategy","PROPOSED_NOT_IMPLEMENTED"
"/category/maintenance/","https://rkrenosolution.com/category/maintenance/","generated-route","Maintenance - RK Reno Solution","taxonomy","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","KEEP_NOINDEX_TEMPORARILY","","noindex,follow","Thin archive may aid navigation but needs article-count and taxonomy strategy review. Linked unique article count: 4; unique introduction not established.","44","https://rkrenosolution.com/category/maintenance/","YES — category-sitemap","YES","NO","MEDIUM","","","MEDIUM","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","Category/tag retention strategy","PROPOSED_NOT_IMPLEMENTED"
"/category/renovation/","https://rkrenosolution.com/category/renovation/","generated-route","Renovation - RK Reno Solution","taxonomy","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","KEEP_NOINDEX_TEMPORARILY","","noindex,follow","Thin archive may aid navigation but needs article-count and taxonomy strategy review. Linked unique article count: 3; unique introduction not established.","19","https://rkrenosolution.com/category/renovation/","YES — category-sitemap","YES","NO","MEDIUM","","","MEDIUM","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","Category/tag retention strategy","PROPOSED_NOT_IMPLEMENTED"
"/category/servis-pembersihan/","https://rkrenosolution.com/category/servis-pembersihan/","generated-route","Servis Pembersihan - RK Reno Solution","taxonomy","200","200","NEEDS CONTENT","BaseLayout + generic legacy-content renderer","KEEP_NOINDEX_TEMPORARILY","","noindex,follow","Thin archive may aid navigation but needs article-count and taxonomy strategy review. Linked unique article count: 1; unique introduction not established.","15","https://rkrenosolution.com/category/servis-pembersihan/","YES — category-sitemap","YES","NO","EXACT_DUPLICATE","/category/servis-pembersihan/","","MEDIUM","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","Category/tag retention strategy","PROPOSED_NOT_IMPLEMENTED"
"/category/technical-guides/","https://rkrenosolution.com/category/technical-guides/","generated-route","Technical Guides - RK Reno Solution","taxonomy","200","200","NEEDS CONTENT","BaseLayout + generic legacy-content renderer","KEEP_NOINDEX_TEMPORARILY","","noindex,follow","Thin archive may aid navigation but needs article-count and taxonomy strategy review. Linked unique article count: 1; unique introduction not established.","4","https://rkrenosolution.com/category/technical-guides/","YES — category-sitemap","YES","NO","EXACT_DUPLICATE","/category/technical-guides/","","MEDIUM","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","Category/tag retention strategy","PROPOSED_NOT_IMPLEMENTED"
"/checkout/","https://rkrenosolution.com/checkout/","WordPress-export","Checkout","page","302 → https://rkrenosolution.com/cart/","404","NOT REVIEWED","not generated","REMOVE_AND_410","","gone (410)","Published WooCommerce utility exists in the export but has no supported RK Reno sales function.","0","","NO","YES","NO","LOW","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","NO IMAGE DEPENDENCY FOUND","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
"/commercial-retail-shop-renovation-in-kuala-lumpur/","https://rkrenosolution.com/commercial-retail-shop-renovation-in-kuala-lumpur/","generated-route","Commercial Retail Shop Renovation in Kuala Lumpur - RK Reno Solution","post","200","200","NEEDS IMAGES","BaseLayout + generic legacy-content renderer","KEEP_AND_REDESIGN","","index,follow","Route has clear RK Reno business or search intent and should retain its approved content.","74","https://rkrenosolution.com/commercial-retail-shop-renovation-in-kuala-lumpur/","YES — post-sitemap","YES","YES","HIGH","","","HIGH","HIGH","UNKNOWN — no Search Console or backlink export available","BLOCKED — 1 hotlinked, 0 missing","1","0","NONE FOUND","NONE FOUND","Guarantee or warranty","NOT_APPLICABLE","Evidence for business claims; Verified original images/project photos","PROPOSED_NOT_IMPLEMENTED"
"/company-history/","https://rkrenosolution.com/company-history/","generated-route","Company History - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","OWNER_DECISION_REQUIRED","","noindex,follow","Identity, history, testimonials, or project claims require owner-supplied authentic content.","0","https://rkrenosolution.com/company-history/","YES — page-sitemap","YES","YES","HIGH","","","UNKNOWN","UNKNOWN","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","Vastcon; Vinceta","New York","Named demo project; Company-history claim","NOT_APPLICABLE","Evidence for business claims; Owner decision and authentic replacement content","OWNER_CONFIRMATION_REQUIRED"
"/contact-us/","https://rkrenosolution.com/contact-us/","generated-route","Contact Us - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","KEEP_AND_REDESIGN","","index,follow","Route has clear RK Reno business or search intent and should retain its approved content.","61","https://rkrenosolution.com/contact-us/","YES — page-sitemap","YES","YES","MEDIUM","","","HIGH","MEDIUM","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
"/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","https://rkrenosolution.com/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","generated-route","Electrical Services Selangor: The Complete Safety & Pricing Guide (2026 Edition) - RK Reno Solution","post","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","KEEP_AND_REDESIGN","","index,follow","Route has clear RK Reno business or search intent and should retain its approved content.","18","https://rkrenosolution.com/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","YES — post-sitemap","YES","YES","HIGH","","","HIGH","HIGH","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","Certification claim; Guarantee or warranty","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/electrical-services-selangor/","https://rkrenosolution.com/electrical-services-selangor/","generated-route","Electrical Services Selangor - RK Reno Solution","page","200","200","TECHNICALLY COMPLETE","BaseLayout + page-specific custom layout","KEEP_CONTENT_PAGE","","index,follow","Genuine priority content is retained; owner approval and shared-system review remain.","9","https://rkrenosolution.com/electrical-services-selangor/","YES — page-sitemap","YES","YES","HIGH","","","HIGH","HIGH","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","Project count; Emergency availability; Safety claim; Rating claim; Guarantee or warranty","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/faq/","https://rkrenosolution.com/faq/","generated-route","FAQ - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","KEEP_AND_REDESIGN","","index,follow","Route has clear RK Reno business or search intent and should retain its approved content.","3","https://rkrenosolution.com/faq/","YES — page-sitemap","YES","YES","MEDIUM","","","HIGH","MEDIUM","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","NONE FOUND","NONE FOUND","Guarantee or warranty","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/feedback-error/","https://rkrenosolution.com/feedback-error/","generated-route","Feedback Error - RK Reno Solution","page","200","200","NEEDS CONTENT","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported or obsolete utility content has no verified business purpose.","0","https://rkrenosolution.com/feedback-error/","YES — page-sitemap","YES","YES","LOW","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","NO IMAGE DEPENDENCY FOUND","0","0","NONE FOUND","NONE FOUND","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
"/home-1-one-page/","https://rkrenosolution.com/home-1-one-page/","generated-route","Home 1 One Page - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported theme demonstration route; do not redesign or redirect it to the homepage.","17","https://rkrenosolution.com/home-1-one-page/","YES — page-sitemap","YES","YES","NEAR_DUPLICATE","","/home-1/","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","Vincent Pham/P.; Ivey School demo; Lorem ipsum; Demo route name","NONE FOUND","Experience claim; Named testimonial/team member; Named demo project","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/home-1/","https://rkrenosolution.com/home-1/","generated-route","Home 1 - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported theme demonstration route; do not redesign or redirect it to the homepage.","16","https://rkrenosolution.com/home-1/","YES — page-sitemap","YES","YES","HIGH","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","Vastcon; Vincent Pham/P.; Ivey School demo; Lorem ipsum; Demo route name","NONE FOUND","Experience claim; Named testimonial/team member; Named demo project","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/home-10-one-page/","https://rkrenosolution.com/home-10-one-page/","generated-route","Home 10 One Page - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported theme demonstration route; do not redesign or redirect it to the homepage.","1","https://rkrenosolution.com/home-10-one-page/","YES — page-sitemap","YES","YES","EXACT_DUPLICATE","none — both proposed 410","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","Vastcon; Demo route name","NONE FOUND","Customer count","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/home-10/","https://rkrenosolution.com/home-10/","generated-route","Home 10 - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported theme demonstration route; do not redesign or redirect it to the homepage.","3","https://rkrenosolution.com/home-10/","YES — page-sitemap","YES","YES","EXACT_DUPLICATE","none — both proposed 410","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","Vastcon; Demo route name","NONE FOUND","Customer count","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/home-2-2/","https://rkrenosolution.com/home-2-2/","generated-route","Home 2 - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported theme demonstration route; do not redesign or redirect it to the homepage.","8","https://rkrenosolution.com/home-2-2/","YES — page-sitemap","YES","YES","HIGH","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","Vastcon; Vincent Pham/P.; Ivey School demo; Lorem ipsum; Demo route name","Australia/NSW","Experience claim; Named testimonial/team member; Named demo project","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/home-2-one-page/","https://rkrenosolution.com/home-2-one-page/","generated-route","Home 2 One Page - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported theme demonstration route; do not redesign or redirect it to the homepage.","9","https://rkrenosolution.com/home-2-one-page/","YES — page-sitemap","YES","YES","HIGH","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","Vastcon; Vinceta; Vincent Pham/P.; Ivey School demo; Lorem ipsum; Demo route name","Australia/NSW","Experience claim; Named testimonial/team member; Named demo project","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/home-2/","https://rkrenosolution.com/home-2/","existing-redirect-map","Legacy Home 2 demo alias","redirect-alias","301 → https://rkrenosolution.com/wp-content/uploads/2025/01/home.svg","404","NOT REVIEWED","not generated","REMOVE_AND_410","","gone (410)","Theme-demo alias/asset is not a public RK Reno content page.","3","","NO","YES","NO","LOW","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","NO IMAGE DEPENDENCY FOUND","0","0","Demo route name","NONE FOUND","NONE FOUND","NOT_APPLICABLE","None for disposition; owner approval still required","PROPOSED_NOT_IMPLEMENTED"
"/home-3-one-page/","https://rkrenosolution.com/home-3-one-page/","generated-route","Home 3 One Page - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported theme demonstration route; do not redesign or redirect it to the homepage.","7","https://rkrenosolution.com/home-3-one-page/","YES — page-sitemap","YES","YES","NEAR_DUPLICATE","","/home-3/","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","Vastcon; Vinceta; Vincent Pham/P.; Ivey School demo; Demo route name","NONE FOUND","Experience claim; Named testimonial/team member; Named demo project","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/home-3/","https://rkrenosolution.com/home-3/","generated-route","Home 3 - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported theme demonstration route; do not redesign or redirect it to the homepage.","9","https://rkrenosolution.com/home-3/","YES — page-sitemap","YES","YES","HIGH","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","Vastcon; Vinceta; Vincent Pham/P.; Ivey School demo; Demo route name","NONE FOUND","Experience claim; Named testimonial/team member; Named demo project","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/home-4-one-page/","https://rkrenosolution.com/home-4-one-page/","generated-route","Home 4 One Page - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported theme demonstration route; do not redesign or redirect it to the homepage.","8","https://rkrenosolution.com/home-4-one-page/","YES — page-sitemap","YES","YES","NEAR_DUPLICATE","","/home-4/","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","Vinceta; Vincent Pham/P.; Lorem ipsum; Demo route name","NONE FOUND","Experience claim; Named testimonial/team member; Named demo project","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/home-4/","https://rkrenosolution.com/home-4/","generated-route","Home 4 - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported theme demonstration route; do not redesign or redirect it to the homepage.","10","https://rkrenosolution.com/home-4/","YES — page-sitemap","YES","YES","HIGH","","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","Vastcon; Vincent Pham/P.; Lorem ipsum; Demo route name","NONE FOUND","Experience claim; Named testimonial/team member; Named demo project","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
"/home-5-one-page/","https://rkrenosolution.com/home-5-one-page/","generated-route","Home 5 One Page - RK Reno Solution","page","200","200","NEEDS REDESIGN","BaseLayout + generic legacy-content renderer","REMOVE_AND_410","","gone (410)","Imported theme demonstration route; do not redesign or redirect it to the homepage.","1","https://rkrenosolution.com/home-5-one-page/","YES — page-sitemap","YES","YES","EXACT_DUPLICATE","none — both proposed 410","","LOW","LOW","UNKNOWN — no Search Console or backlink export available","LOCALIZED/AVAILABLE — visual suitability unreviewed","0","0","Vastcon; Ivey School demo; Lorem ipsum; Demo route name","NONE FOUND","Experience claim; Named demo project","NOT_APPLICABLE","Evidence for business claims","PROPOSED_NOT_IMPLEMENTED"
