"Route","Page title","Page type","Index status","Sitemap status","Template used","Content reviewed","Desktop reviewed","Tablet reviewed","Mobile reviewed","Images reviewed","Claims reviewed","Internal links reviewed","CTA reviewed","SEO reviewed","Schema reviewed","Accessibility reviewed","Owner approval required","Remaining issue","Final readiness status"
"/house-renovation-in-kuala-lumpur/","House Renovation in Kuala Lumpur - RK Reno Solution","Service landing page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/house-renovation-in-selangor/","House Renovation in Selangor - RK Reno Solution","Service landing page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/home-renovation-contractor-in-subang-jaya/","Home Renovation Contractor in Subang Jaya - RK Reno Solution","Service landing page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/office-renovation-in-kuala-lumpur/","Office Renovation in Kuala Lumpur - RK Reno Solution","Service landing page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/waterproofing-contractor-kuala-lumpur/","Waterproofing Contractor Kuala Lumpur - RK Reno Solution","Service landing page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/plaster-ceiling-contractor-kl/","Plaster Ceiling Contractor KL - RK Reno Solution","Service landing page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/faq/","FAQ - RK Reno Solution","FAQ page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native FAQ template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/blog/","Blog - RK Reno Solution","Blog archive","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native blog archive template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/commercial-retail-shop-renovation-in-kuala-lumpur/","Commercial Retail Shop Renovation in Kuala Lumpur - RK Reno Solution","Article","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native reusable article template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/office-renovation-petaling-jaya-corporate-fit-out-experts/","Office Renovation Petaling Jaya: Corporate Fit-Out Planning - RK Reno Solution","Article","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native reusable article template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/","Waterproofing Contractor Kuala Lumpur: Leak Inspection Guide (2026) - RK Reno Solution","Article","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native reusable article template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/plaster-ceiling-contractor-kl-the-ultimate-design-pricing-guide-2026/","Plaster Ceiling Contractor KL: Design & Quotation Guide (2026) - RK Reno Solution","Article","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native reusable article template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","Aircond Installation KL: Planning Guide for 2026 - RK Reno Solution","Article","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native reusable article template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","Electrical Services Selangor: Safety and Quotation Guide - RK Reno Solution","Article","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native reusable article template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/","House Renovation in Kuala Lumpur: Planning and Quotation Guide - RK Reno Solution","Article","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native reusable article template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","House Renovation in Selangor: Home Extension Planning Guide - RK Reno Solution","Article","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native reusable article template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/","Office Renovation in Kuala Lumpur: Fit-Out Planning Guide - RK Reno Solution","Article","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native reusable article template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/","Pakej Deep Cleaning Rumah KL: Scope and Enquiry Guide - RK Reno Solution","Article","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native reusable article template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/","PU Injection Waterproofing KL: Crack and Leak Repair Guide - RK Reno Solution","Article","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native reusable article template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","Servis Aircond KL: Maintenance and Troubleshooting Guide - RK Reno Solution","Article","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native reusable article template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Servis Cuci Rumah KL: Home Cleaning Planning Guide - RK Reno Solution","Article","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native reusable article template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/servis-cuci-rumah-kl/","Servis Cuci Rumah KL - RK Reno Solution","Service landing page","STAGING_NOINDEX; PRODUCTION_INDEX_FOLLOW","INCLUDED","Native Batch1Page Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/thank-you/","Thank You - RK Reno Solution","Thank-you utility","NOINDEX_NOFOLLOW","EXCLUDED","Native ThankYouPage Astro component","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner legal input and production form configuration remain incomplete; staging submission is disabled.","NEEDS_FORM_CONFIGURATION"
"/category/commercial/","Commercial Renovation Guides - RK Reno Solution","Taxonomy archive","NOINDEX_FOLLOW","EXCLUDED","Native taxonomy archive template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/category/hvac-guides/","Aircond Installation and Maintenance Guides - RK Reno Solution","Taxonomy archive","NOINDEX_FOLLOW","EXCLUDED","Native taxonomy archive template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/category/maintenance/","Property Maintenance Guides - RK Reno Solution","Taxonomy archive","NOINDEX_FOLLOW","EXCLUDED","Native taxonomy archive template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/category/renovation/","Renovation Planning Guides - RK Reno Solution","Taxonomy archive","NOINDEX_FOLLOW","EXCLUDED","Native taxonomy archive template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/category/servis-pembersihan/","Panduan Servis Pembersihan Rumah - RK Reno Solution","Taxonomy archive","NOINDEX_FOLLOW","EXCLUDED","Native taxonomy archive template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/category/technical-guides/","Technical Property Guides - RK Reno Solution","Taxonomy archive","NOINDEX_FOLLOW","EXCLUDED","Native taxonomy archive template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/tag/interior-finishing/","Interior Finishing Guides - RK Reno Solution","Taxonomy archive","NOINDEX_FOLLOW","EXCLUDED","Native taxonomy archive template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/tag/office-fit-out/","Office Fit-Out Guides - RK Reno Solution","Taxonomy archive","NOINDEX_FOLLOW","EXCLUDED","Native taxonomy archive template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
"/tag/waterproofing/","Waterproofing and Leak Guides - RK Reno Solution","Taxonomy archive","NOINDEX_FOLLOW","EXCLUDED","Native taxonomy archive template","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","Owner approval is pending. Neutral service imagery is acceptable; verified project photography remains a recommended enhancement.","READY_FOR_OWNER_REVIEW"
