"Route","Page family","Area checked","WordPress state","Astro state before Prompt 2.3","Final correction","Final Astro state","Remaining difference","Reason"
"/plaster-ceiling-contractor-kl-the-ultimate-design-pricing-guide-2026/","Long-form article","Article and sidebar","Plaster guide with exact image, pricing table, callouts and sidebar","Full-width presentation","Preserved Prompt 2.2 layout and added intrinsic dimensions to imported article images","Heading and table counts match","TECHNICAL_PLATFORM_DIFFERENCE","Static Astro sidebar search is intentionally disabled on staging"
"/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","Long-form article","Article and sidebar","Long English guide with content column, sidebar, table and CTA","Full-width landing-page presentation","Preserved Prompt 2.2 layout and added intrinsic dimensions to imported article images","Content counts and source order remain intact","SAFE_DEMO_EXCLUSION","Unsupported 90-day workmanship warranty remains excluded"
"/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","Long-form article","Article and sidebar","Electrical safety guide with pricing table, callouts and sidebar","Full-width presentation","Preserved Prompt 2.2 layout and added intrinsic dimensions to imported article images","Safe article wording and table remain complete","SAFE_DEMO_EXCLUSION","Unsupported workmanship warranty remains excluded"
"/house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/","Long-form article","Long-form cost guide","Very long renovation guide with multiple layouts, nine FAQs and sidebar","Full-width layout with substituted local images","Preserved Prompt 2.2 layout and added intrinsic dimensions to imported article images","Article counts match and page length is comparable","SOURCE_IMAGE_UNAVAILABLE","Two current source photographs remain unavailable; closest local neutral renovation image is retained"
"/house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","Long-form article","Article and image treatment","Selangor extension guide with table, callouts, sidebar and property image","Full-width presentation","Preserved Prompt 2.2 layout and added intrinsic dimensions to imported article images","Table and heading counts match","SOURCE_IMAGE_UNAVAILABLE","Current source photograph is unavailable and unsupported warranty wording remains excluded"
"/office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/","Long-form article","Article and sidebar","Office guide with image, cost table, CTA and sidebar","Full-width presentation","Preserved Prompt 2.2 layout and added intrinsic dimensions to imported article images","Content and table counts match","TECHNICAL_PLATFORM_DIFFERENCE","Static Astro sidebar search is intentionally disabled on staging"
"/pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/","Long-form article","Malay package guide","Long Malay guide with package table, five FAQs, multiple images and sidebar","Full-width presentation with approved local imagery","Preserved Prompt 2.2 layout and added intrinsic dimensions to imported article images","Heading, table and FAQ counts match","SOURCE_IMAGE_UNAVAILABLE","Several current WordPress package images remain unavailable; closest localized cleaning imagery is retained"
"/pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/","Long-form article","Article and sidebar","PU injection guide with image, price table, callouts and sidebar","Full-width presentation","Preserved Prompt 2.2 layout and added intrinsic dimensions to imported article images","Safe body and table remain complete","SAFE_DEMO_EXCLUSION","Written warranty and free lifetime-style repair promise remain excluded"
"/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","Long-form article","Malay/English aircond guide","Aircond service guide with table, callouts and sidebar","Full-width presentation with approved owner image","Preserved Prompt 2.2 layout and added intrinsic dimensions to imported article images","Safe article body remains complete","SAFE_DEMO_EXCLUSION","90-day warranty and satisfaction language remain excluded"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Long-form article","Malay cleaning guide","Cleaning guide with image, pricing table, callouts and sidebar","Full-width presentation","Preserved Prompt 2.2 layout and added intrinsic dimensions to imported article images","Heading and table counts match","SAFE_DEMO_EXCLUSION","Unsupported satisfaction guarantee remains excluded"
"/servis-cuci-rumah-kl/","Core and services","Malay cleaning content","Malay introduction, pricing, process, packages, FAQ and guides","Compressed generic Malay sections","Preserved prior layout and normalized shared logo/card image dimensions","Malay source structure is preserved","SAFE_DEMO_EXCLUSION","Unsupported sanitisation, satisfaction, review and counter claims remain excluded"
"/thank-you/","Utility","Direct-visit state, contact choices and shared styling","Shared title system but displays a success message even when the URL is opened directly","Honest staging wording with an unwanted focused-heading outline and incomplete contact navigation","Removed forced focus, added Contact, and styled Home, Services, phone and WhatsApp actions consistently","Honest noindex utility page with no form or lead event and complete contact alternatives","SAFE_DEMO_EXCLUSION","The live fake direct-visit success confirmation is intentionally not reproduced"
"/category/commercial/","Taxonomy archive","Complete archive page and membership","WordPress list archive with title banner, article summaries, search/sidebar, categories and demo/plugin footer content","Modern image-card grid with a centered introduction and no source-like sidebar","Rebuilt as a styled article list with source-like typography, disabled staging search, retained archive navigation and service CTA","Source-family list/sidebar layout with exact approved article membership at all three viewports","SAFE_DEMO_EXCLUSION","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/hvac-guides/","Taxonomy archive","Complete archive page and membership","WordPress list archive with title banner, article summaries, search/sidebar, categories and demo/plugin footer content","Modern image-card grid with a centered introduction and no source-like sidebar","Rebuilt as a styled article list with source-like typography, disabled staging search, retained archive navigation and service CTA","Source-family list/sidebar layout with exact approved article membership at all three viewports","SAFE_DEMO_EXCLUSION","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/maintenance/","Taxonomy archive","Complete archive page and membership","WordPress list archive with title banner, article summaries, search/sidebar, categories and demo/plugin footer content","Modern image-card grid with a centered introduction and no source-like sidebar","Rebuilt as a styled article list with source-like typography, disabled staging search, retained archive navigation and service CTA","Source-family list/sidebar layout with exact approved article membership at all three viewports","SAFE_DEMO_EXCLUSION","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/renovation/","Taxonomy archive","Complete archive page and membership","WordPress list archive with title banner, article summaries, search/sidebar, categories and demo/plugin footer content","Modern image-card grid with a centered introduction and no source-like sidebar","Rebuilt as a styled article list with source-like typography, disabled staging search, retained archive navigation and service CTA","Source-family list/sidebar layout with exact approved article membership at all three viewports","SAFE_DEMO_EXCLUSION","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/servis-pembersihan/","Taxonomy archive","Complete archive page and membership","WordPress list archive with title banner, article summaries, search/sidebar, categories and demo/plugin footer content","Modern image-card grid with a centered introduction and no source-like sidebar","Rebuilt as a styled article list with source-like typography, disabled staging search, retained archive navigation and service CTA","Source-family list/sidebar layout with exact approved article membership at all three viewports","SAFE_DEMO_EXCLUSION","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/category/technical-guides/","Taxonomy archive","Complete archive page and membership","WordPress list archive with title banner, article summaries, search/sidebar, categories and demo/plugin footer content","Modern image-card grid with a centered introduction and no source-like sidebar","Rebuilt as a styled article list with source-like typography, disabled staging search, retained archive navigation and service CTA","Source-family list/sidebar layout with exact approved article membership at all three viewports","SAFE_DEMO_EXCLUSION","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/tag/interior-finishing/","Taxonomy archive","Complete archive page and membership","WordPress list archive with title banner, article summaries, search/sidebar, categories and demo/plugin footer content","Modern image-card grid with a centered introduction and no source-like sidebar","Rebuilt as a styled article list with source-like typography, disabled staging search, retained archive navigation and service CTA","Source-family list/sidebar layout with exact approved article membership at all three viewports","SAFE_DEMO_EXCLUSION","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/tag/office-fit-out/","Taxonomy archive","Complete archive page and membership","WordPress list archive with title banner, article summaries, search/sidebar, categories and demo/plugin footer content","Modern image-card grid with a centered introduction and no source-like sidebar","Rebuilt as a styled article list with source-like typography, disabled staging search, retained archive navigation and service CTA","Source-family list/sidebar layout with exact approved article membership at all three viewports","SAFE_DEMO_EXCLUSION","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"/tag/waterproofing/","Taxonomy archive","Complete archive page and membership","WordPress list archive with title banner, article summaries, search/sidebar, categories and demo/plugin footer content","Modern image-card grid with a centered introduction and no source-like sidebar","Rebuilt as a styled article list with source-like typography, disabled staging search, retained archive navigation and service CTA","Source-family list/sidebar layout with exact approved article membership at all three viewports","SAFE_DEMO_EXCLUSION","Tag clouds, plugin clutter, newsletter/career material and imported demo footer content remain excluded"
"CUSTOM_404","Error output","404 response, navigation and shared styling","Custom error graphic, short message, homepage action and shared WordPress chrome","Shared title and explanation but no Blog action and minimally styled links","Added Blog and a complete styled action set while retaining the real 404 response and no redirect","Complete shared-design 404 with Home, Services, Blog, Contact, phone and WhatsApp","TECHNICAL_PLATFORM_DIFFERENCE","GitHub Pages fallback handling can differ from the production Nginx HTTP 404 error-document plan"
