"Original filename","File type","File size","Image dimensions","Video dimensions","Video duration","Orientation","Quality","Duplicate or near-duplicate status","Main subject","Service category","Location if identifiable/appropriate","People visible","Branding or logos visible","Private or sensitive information visible","Appears to show genuine RK Reno work","Suggested website page","Suggested website section","Recommended use","Selected or rejected","Rejection reason","Public filename","Alt text","Caption","Crop requirement","Compression requirement","Privacy correction requirement","Owner confirmation required"
"WhatsApp Image 2026-07-17 at 6.47.57 PM (3).jpeg","jpeg","32834 bytes","1080x810","","","landscape","GOOD","RELATED_SEQUENCE_11_12_16","Wall-mounted indoor aircond unit","Aircond installation","NOT_IDENTIFIABLE","NO","NO","NO_OBVIOUS_SENSITIVE_INFORMATION","OWNER_SUPPLIED_SERVICE_IMAGERY_NOT_PROJECT_VERIFIED","/aircond-installation-kl/; /aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","Page hero; article lead image","Responsive WebP derivative","SELECTED","","rk-reno-wall-mounted-aircond-unit-480.webp; rk-reno-wall-mounted-aircond-unit-960.webp","Owner-supplied image of a wall-mounted aircond unit","Wall-mounted aircond unit; location and project details are not published.","NONE","WEBP_QUALITY_80_METADATA_STRIPPED","NONE","NO"
"WhatsApp Image 2026-07-17 at 6.47.57 PM (4).jpeg","jpeg","32122 bytes","1080x810","","","landscape","GOOD","RELATED_SEQUENCE_11_12_16","Wall-mounted aircond unit with trunking","Aircond installation","NOT_IDENTIFIABLE","NO","NO","NO_OBVIOUS_SENSITIVE_INFORMATION","OWNER_SUPPLIED_SERVICE_IMAGERY_NOT_PROJECT_VERIFIED","/upah-pasang-aircond-selangor/","Page hero","Responsive WebP derivative","SELECTED","","rk-reno-aircond-unit-trunking-480.webp; rk-reno-aircond-unit-trunking-960.webp","Imej pemilik bagi unit aircond pada dinding dengan trunking","Unit aircond dengan trunking; lokasi dan butiran projek tidak diterbitkan.","NONE","WEBP_QUALITY_80_METADATA_STRIPPED","NONE","NO"
"WhatsApp Image 2026-07-17 at 6.47.57 PM.jpeg","jpeg","169200 bytes","810x1080","","","portrait","GOOD","RELATED_SEQUENCE_03_05_08_13","Residential exterior with condenser unit","Aircond installation","NOT_IDENTIFIABLE","NO","NO","private residence or household context","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","private residence or household context","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.47.58 PM (1).jpeg","jpeg","56249 bytes","810x1080","","","portrait","FAIR","RELATED_SEQUENCE_14_15","Close-up of hand sealing trim","Aircond installation","NOT_IDENTIFIABLE","YES","NO","NO_OBVIOUS_SENSITIVE_INFORMATION","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Keep original local only","REJECTED","Very tight, unclear finishing detail","","","","NONE","NONE","NONE","NO"
"WhatsApp Image 2026-07-17 at 6.47.58 PM (2).jpeg","jpeg","73115 bytes","810x1080","","","portrait","FAIR","RELATED_SEQUENCE_14_15","Close-up of hand finishing a surface","Aircond installation","NOT_IDENTIFIABLE","YES","NO","NO_OBVIOUS_SENSITIVE_INFORMATION","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Keep original local only","REJECTED","Very tight, unclear finishing detail","","","","NONE","NONE","NONE","NO"
"WhatsApp Image 2026-07-17 at 6.47.58 PM.jpeg","jpeg","40385 bytes","1080x810","","","landscape","GOOD","RELATED_SEQUENCE_11_12_16","Wall-mounted aircond unit with bracket and trunking","Aircond installation","NOT_IDENTIFIABLE","NO","NO","NO_OBVIOUS_SENSITIVE_INFORMATION","OWNER_SUPPLIED_SERVICE_IMAGERY_NOT_PROJECT_VERIFIED","/servis-aircond-murah-kl/; /servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","Page hero; article lead image","Responsive WebP derivative","SELECTED","","rk-reno-aircond-indoor-unit-service-access-480.webp; rk-reno-aircond-indoor-unit-service-access-960.webp","Owner-supplied image of a wall-mounted aircond unit and service access area","Wall-mounted aircond unit and service access area; location and project details are not published.","NONE","WEBP_QUALITY_80_METADATA_STRIPPED","NONE","NO"
"WhatsApp Image 2026-07-17 at 6.47.59 PM (1).jpeg","jpeg","133469 bytes","810x1080","","","portrait","FAIR","UNIQUE","Worker, ladder and outdoor condenser","Aircond installation","NOT_IDENTIFIABLE","YES","RK Reno shirt plus 014-3319006 and 01111-334496","alternate phone number visible on worker shirt; private residence or household context; PPE or electrical-safety context needs confirmation","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","alternate phone number visible on worker shirt; private residence or household context; PPE or electrical-safety context needs confirmation","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.47.59 PM (2).jpeg","jpeg","49439 bytes","810x1080","","","portrait","GOOD","UNIQUE","Worker taking an indoor measurement","Aircond installation","NOT_IDENTIFIABLE","YES","RK Reno shirt plus 014-3319006 and 01111-334496","alternate phone number visible on worker shirt; private residence or household context","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","alternate phone number visible on worker shirt; private residence or household context","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.47.59 PM (3).jpeg","jpeg","59574 bytes","810x1080","","","portrait","FAIR","RELATED_SEQUENCE_19_24","Worker at an open distribution board","Electrical work","NOT_IDENTIFIABLE","YES","NO","private residence or household context; PPE or electrical-safety context needs confirmation","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","private residence or household context; PPE or electrical-safety context needs confirmation","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.47.59 PM.jpeg","jpeg","55285 bytes","810x1080","","","portrait","FAIR","UNIQUE","Brush work near outlets and trunking","Unclear finishing work","NOT_IDENTIFIABLE","YES","NO","NO_OBVIOUS_SENSITIVE_INFORMATION","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Keep original local only","REJECTED","Service category is unclear","","","","NONE","NONE","NONE","NO"
"WhatsApp Image 2026-07-17 at 6.48.00 PM (1).jpeg","jpeg","78805 bytes","810x1080","","","portrait","GOOD","RELATED_SEQUENCE_21_22","Worker servicing an open indoor aircond","Aircond servicing","NOT_IDENTIFIABLE","YES","RK Reno shirt plus 014-3319006 and 01111-334496","alternate phone number visible on worker shirt; private residence or household context; PPE or electrical-safety context needs confirmation","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","alternate phone number visible on worker shirt; private residence or household context; PPE or electrical-safety context needs confirmation","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.48.00 PM (2).jpeg","jpeg","91576 bytes","810x1080","","","portrait","GOOD","RELATED_SEQUENCE_21_22","Worker on ladder servicing open aircond","Aircond servicing","NOT_IDENTIFIABLE","YES","RK Reno shirt plus 014-3319006 and 01111-334496","alternate phone number visible on worker shirt; private residence or household context; PPE or electrical-safety context needs confirmation","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","alternate phone number visible on worker shirt; private residence or household context; PPE or electrical-safety context needs confirmation","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.48.00 PM (3).jpeg","jpeg","70371 bytes","810x1080","","","portrait","FAIR","UNIQUE","Panasonic outdoor condenser","Aircond installation","NOT_IDENTIFIABLE","NO","MANUFACTURER_LOGO_ONLY","NO_OBVIOUS_SENSITIVE_INFORMATION","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Keep original local only","REJECTED","Low-context manufacturer-focused image","","","","NONE","NONE","NONE","NO"
"WhatsApp Image 2026-07-17 at 6.48.00 PM.jpeg","jpeg","61680 bytes","810x1080","","","portrait","FAIR","RELATED_SEQUENCE_19_24","Worker at an open distribution board","Electrical work","NOT_IDENTIFIABLE","YES","NO","private residence or household context; PPE or electrical-safety context needs confirmation","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","private residence or household context; PPE or electrical-safety context needs confirmation","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.48.01 PM (1).jpeg","jpeg","84218 bytes","810x1080","","","portrait","GOOD","RELATED_SEQUENCE_25_26_29_30","Worker servicing indoor aircond","Aircond servicing","NOT_IDENTIFIABLE","YES","RK Reno shirt plus 014-3319006 and 01111-334496","alternate phone number visible on worker shirt; private residence or household context; PPE or electrical-safety context needs confirmation","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","alternate phone number visible on worker shirt; private residence or household context; PPE or electrical-safety context needs confirmation","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.48.01 PM (2).jpeg","jpeg","76156 bytes","608x1080","","","portrait","FAIR","RELATED_SEQUENCE_25_26_29_30","Worker servicing aircond near household shelving","Aircond servicing","NOT_IDENTIFIABLE","YES","RK Reno shirt plus 014-3319006 and 01111-334496","alternate phone number visible on worker shirt; private residence or household context; PPE or electrical-safety context needs confirmation","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","alternate phone number visible on worker shirt; private residence or household context; PPE or electrical-safety context needs confirmation","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.48.01 PM.jpeg","jpeg","84515 bytes","810x1080","","","portrait","FAIR","UNIQUE","Ceiling fan","Electrical work","NOT_IDENTIFIABLE","NO","NO","NO_OBVIOUS_SENSITIVE_INFORMATION","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Keep original local only","REJECTED","Ceiling fan alone does not evidence electrical service work","","","","NONE","NONE","NONE","NO"
"WhatsApp Image 2026-07-17 at 6.48.02 PM (1).jpeg","jpeg","43401 bytes","608x1080","","","portrait","FAIR","UNIQUE","Worker wiping an indoor aircond","Aircond servicing","NOT_IDENTIFIABLE","YES","NO","private residence or household context","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","private residence or household context","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.48.02 PM (2).jpeg","jpeg","102831 bytes","608x1080","","","portrait","GOOD","RELATED_SEQUENCE_25_26_29_30","Worker servicing open indoor aircond","Aircond servicing","NOT_IDENTIFIABLE","YES","RK Reno shirt plus 014-3319006 and 01111-334496","alternate phone number visible on worker shirt; private residence or household context; PPE or electrical-safety context needs confirmation","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","alternate phone number visible on worker shirt; private residence or household context; PPE or electrical-safety context needs confirmation","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Image 2026-07-17 at 6.48.02 PM.jpeg","jpeg","92948 bytes","608x1080","","","portrait","GOOD","RELATED_SEQUENCE_25_26_29_30","Worker servicing open indoor aircond","Aircond servicing","NOT_IDENTIFIABLE","YES","RK Reno shirt plus 014-3319006 and 01111-334496","alternate phone number visible on worker shirt; private residence or household context; PPE or electrical-safety context needs confirmation","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None pending review","None","Hold locally pending owner confirmation","HOLD_OWNER_CONFIRMATION","alternate phone number visible on worker shirt; private residence or household context; PPE or electrical-safety context needs confirmation","","","","NONE","NONE","OWNER_APPROVAL_REQUIRED; do not edit people, branding, or objects without separate approval","YES"
"WhatsApp Video 2026-07-17 at 6.48.01 PM.mp4","mp4","1187559 bytes","","576x1024","6.867 seconds","portrait","GOOD","UNIQUE","Handheld power tool polishing or sanding a wet light-coloured surface","Service category unclear","NOT_IDENTIFIABLE","HAND_ONLY","NO","NO_OBVIOUS_SENSITIVE_INFORMATION","POSSIBLE_OWNER_SUPPLIED_WORK_NOT_VERIFIED","None until service and consent are confirmed","None","Keep original local; no public derivative","HOLD_OWNER_CONFIRMATION","Service context is unclear; public use requires confirmation that this is RK Reno work and is safe to present.","","","","NONE","REQUIRED_IF_SELECTED","NONE","YES"
