"Route","Status","Difference fields"
"/house-renovation-in-kuala-lumpur/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; missingAccordions; extraAccordions; missingCards; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/house-renovation-in-selangor/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; missingAccordions; extraAccordions; missingCards; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/home-renovation-contractor-in-subang-jaya/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; extraTables; missingImages; extraImages; extraLinks; extraAccordions; missingCards; extraCards; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/office-renovation-in-kuala-lumpur/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; missingAccordions; extraAccordions; missingCards; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/waterproofing-contractor-kuala-lumpur/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraTables; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; extraAccordions; extraCards; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/plaster-ceiling-contractor-kl/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; extraTables; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; extraAccordions; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/faq/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraAccordions; missingCards; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/blog/","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; paginationDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/commercial-retail-shop-renovation-in-kuala-lumpur/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/office-renovation-petaling-jaya-corporate-fit-out-experts/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/plaster-ceiling-contractor-kl-the-ultimate-design-pricing-guide-2026/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/servis-cuci-rumah-kl/","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; extraAccordions; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/thank-you/","DIFFERENCE","missingSections; extraSections; extraHeadings; extraLinks; missingCards; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/category/commercial/","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/category/hvac-guides/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/category/maintenance/","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/category/renovation/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/category/servis-pembersihan/","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/category/technical-guides/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/tag/interior-finishing/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/tag/office-fit-out/","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/tag/waterproofing/","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/company-history/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingImages; extraImages; extraLinks; missingCards; extraCards; wrongImages; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/our-projects-2/","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingImages; extraImages; extraLinks; extraButtons; missingCards; extraCards; wrongImages; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/our-projects/","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingImages; extraImages; extraLinks; extraButtons; missingCards; extraCards; wrongImages; projectDifference; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/our-team/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingImages; extraImages; extraLinks; missingCards; extraCards; wrongImages; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/testimonials/","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingImages; extraImages; extraLinks; missingButtons; extraButtons; missingCards; extraCards; wrongImages; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/demolition-contractor-kl-selangor/","NEW_PAGE",""
