"Route","Status","Differences"
"/house-renovation-in-kuala-lumpur/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 9 -> 11; forms: 3 -> 0; floatingPhone: 2 -> 4; floatingWhatsApp: 3 -> 6; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/house-renovation-in-selangor/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 8 -> 10; forms: 3 -> 0; floatingPhone: 2 -> 4; floatingWhatsApp: 3 -> 5; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/home-renovation-contractor-in-subang-jaya/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 9 -> 6; forms: 3 -> 0; floatingPhone: 2 -> 5; floatingWhatsApp: 2 -> 4; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/office-renovation-in-kuala-lumpur/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 8 -> 10; forms: 3 -> 0; floatingPhone: 2 -> 4; floatingWhatsApp: 3 -> 6; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/waterproofing-contractor-kuala-lumpur/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 9 -> 6; forms: 3 -> 0; floatingPhone: 2 -> 5; floatingWhatsApp: 2 -> 4; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/plaster-ceiling-contractor-kl/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 15 -> 8; forms: 3 -> 0; floatingPhone: 2 -> 5; floatingWhatsApp: 8 -> 10; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/faq/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 14 -> 8; forms: 3 -> 0; floatingPhone: 2 -> 4; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/blog/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 4 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/commercial-retail-shop-renovation-in-kuala-lumpur/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; carousel: 1 -> 0; slider: 1 -> 0; counters: 3 -> 0; accordions: 0 -> 2; forms: 5 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 1 -> 2; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/office-renovation-petaling-jaya-corporate-fit-out-experts/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 5 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 1 -> 2; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; carousel: 1 -> 0; slider: 1 -> 0; counters: 3 -> 0; accordions: 0 -> 2; forms: 5 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 1 -> 2; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/plaster-ceiling-contractor-kl-the-ultimate-design-pricing-guide-2026/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 5 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 1 -> 2; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; carousel: 1 -> 0; slider: 1 -> 0; counters: 3 -> 0; accordions: 0 -> 2; forms: 5 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 1 -> 2; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 5 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 1 -> 2; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; carousel: 1 -> 0; slider: 1 -> 0; counters: 3 -> 0; accordions: 9 -> 11; forms: 5 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 2 -> 3; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; carousel: 1 -> 0; slider: 1 -> 0; counters: 3 -> 0; accordions: 0 -> 2; forms: 5 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 1 -> 2; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 5 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 1 -> 2; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; carousel: 1 -> 0; slider: 1 -> 0; counters: 3 -> 0; accordions: 0 -> 2; forms: 5 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 3 -> 4; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; carousel: 1 -> 0; slider: 1 -> 0; counters: 3 -> 0; accordions: 0 -> 2; forms: 5 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 1 -> 2; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; carousel: 1 -> 0; slider: 1 -> 0; counters: 3 -> 0; accordions: 0 -> 2; forms: 5 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 1 -> 2; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; carousel: 1 -> 0; slider: 1 -> 0; counters: 3 -> 0; accordions: 0 -> 2; forms: 5 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 1 -> 2; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/servis-cuci-rumah-kl/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 12 -> 7; forms: 3 -> 0; floatingPhone: 2 -> 5; floatingWhatsApp: 9 -> 11; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/thank-you/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 3 -> 0; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/category/commercial/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 4 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/category/hvac-guides/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 4 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/category/maintenance/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 4 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/category/renovation/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 4 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/category/servis-pembersihan/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 4 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/category/technical-guides/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 4 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/tag/interior-finishing/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 4 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/tag/office-fit-out/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 4 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/tag/waterproofing/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 4 -> 1; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/company-history/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 3 -> 0; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/our-projects-2/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; slider: 2 -> 0; counters: 3 -> 0; accordions: 0 -> 2; projectFilter: 0 -> 9; forms: 3 -> 0; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/our-projects/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; slider: 2 -> 0; counters: 3 -> 0; accordions: 0 -> 2; projectFilter: 0 -> 9; forms: 3 -> 0; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/our-team/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; slider: 2 -> 0; counters: 3 -> 0; accordions: 0 -> 2; forms: 3 -> 0; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/testimonials/","DIFFERENCE","stickyHeader: true -> 0; desktopDropdown: 3 -> 0; mobileMenu: 0 -> 1; carousel: 0 -> 1; previousControl: 0 -> 1; nextControl: 0 -> 1; counters: 3 -> 0; accordions: 0 -> 2; forms: 3 -> 0; floatingPhone: 2 -> 3; floatingWhatsApp: 0 -> 1; behavior not tested: autoplay, transitionDuration, mobileBehaviour, reducedMotionBehaviour, hoverAnimation, entranceAnimation, formBehaviour"
"/demolition-contractor-kl-selangor/","NEW_PAGE","Not a WordPress-mirrored route"
