"Claim text","Route","Evidence found","Verification status","Recommended action"
"4.9/5 Client Rating","/electrical-services-selangor/","Present in production-derived content; no owner evidence was supplied. Removed from the native Batch 1 output. Removed from the native Batch 1 output.","REMOVED_FROM_BATCH_1_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"Guarantee","/electrical-services-selangor/","Present in production-derived content; no owner evidence was supplied. Removed from the native Batch 1 output. Removed from the native Batch 1 output.","REMOVED_FROM_BATCH_1_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"warranty","/faq/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"1 year of experience","/home-1-one-page/","Production-derived content plus imported-demo indicators: Vincent Pham/P., Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Vincent P.","/home-1-one-page/","Production-derived content plus imported-demo indicators: Vincent Pham/P., Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Skyline Hub","/home-1-one-page/","Production-derived content plus imported-demo indicators: Vincent Pham/P., Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1 year of experience","/home-1/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Vincent P.","/home-1/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Skyline Hub","/home-1/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1,250+ HAPPY CUSTOMERS","/home-10-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1,250+ HAPPY CUSTOMERS","/home-10/","Production-derived content plus imported-demo indicators: Vastcon, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1 year of experience","/home-2-2/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Vincent P.","/home-2-2/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/home-2-2/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1 year of experience","/home-2-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Vinceta, Vincent Pham/P., Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Vincent P.","/home-2-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Vinceta, Vincent Pham/P., Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/home-2-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Vinceta, Vincent Pham/P., Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"30+ years of experience","/home-3-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Vinceta, Vincent Pham/P., Ivey School demo, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Vincent P.","/home-3-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Vinceta, Vincent Pham/P., Ivey School demo, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Skyline Hub","/home-3-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Vinceta, Vincent Pham/P., Ivey School demo, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"30+ years of experience","/home-3/","Production-derived content plus imported-demo indicators: Vastcon, Vinceta, Vincent Pham/P., Ivey School demo, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Vincent P.","/home-3/","Production-derived content plus imported-demo indicators: Vastcon, Vinceta, Vincent Pham/P., Ivey School demo, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Skyline Hub","/home-3/","Production-derived content plus imported-demo indicators: Vastcon, Vinceta, Vincent Pham/P., Ivey School demo, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"30+ years of experience","/home-4-one-page/","Production-derived content plus imported-demo indicators: Vinceta, Vincent Pham/P., Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Vincent P.","/home-4-one-page/","Production-derived content plus imported-demo indicators: Vinceta, Vincent Pham/P., Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Skyline Hub","/home-4-one-page/","Production-derived content plus imported-demo indicators: Vinceta, Vincent Pham/P., Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"30+ years of experience","/home-4/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Vincent P.","/home-4/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Skyline Hub","/home-4/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1 year of experience","/home-5-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Skyline Hub","/home-5-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1 year of experience","/home-5/","Production-derived content plus imported-demo indicators: Vastcon, Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Skyline Hub","/home-5/","Production-derived content plus imported-demo indicators: Vastcon, Ivey School demo, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"30+ years of experience","/home-6-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Ivey School demo, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Axis Industrial Park","/home-6-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Ivey School demo, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"30+ years of experience","/home-6/","Production-derived content plus imported-demo indicators: Vastcon, Ivey School demo, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Axis Industrial Park","/home-6/","Production-derived content plus imported-demo indicators: Vastcon, Ivey School demo, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1,250+ HAPPY CUSTOMERS","/home-7-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"30+ years of experience","/home-7-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Lorem ipsum, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1,250+ HAPPY CUSTOMERS","/home-8-onepage/","Production-derived content plus imported-demo indicators: Vastcon, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1,250+ HAPPY CUSTOMERS","/home-8/","Production-derived content plus imported-demo indicators: Vastcon, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1,250+ HAPPY CUSTOMERS","/home-9-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Ivey School demo, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/home-9-one-page/","Production-derived content plus imported-demo indicators: Vastcon, Ivey School demo, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1,250+ HAPPY CUSTOMERS","/home-9/","Production-derived content plus imported-demo indicators: Vastcon, Ivey School demo, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/home-9/","Production-derived content plus imported-demo indicators: Vastcon, Ivey School demo, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"500+ Local Projects","/home-renovation-contractor-in-subang-jaya/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"4.9/5 Client Rating","/home-renovation-contractor-in-subang-jaya/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"Warranty","/home-renovation-contractor-in-subang-jaya/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"Sarah T.","/home-renovation-contractor-in-subang-jaya/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"over 10 years of experience","/house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","Present in production-derived content; no owner evidence was supplied.","OWNER_CONFIRMATION_REQUIRED","Do not publish until the owner supplies documentary or first-party support."
"Warranty","/house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","Present in production-derived content; no owner evidence was supplied.","OWNER_CONFIRMATION_REQUIRED","Do not publish until the owner supplies documentary or first-party support."
"guarantee","/landing-page/","Production-derived content plus imported-demo indicators: Vastcon, Theme refund copy, Demo route name","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"guarantee","/office-renovation-petaling-jaya-corporate-fit-out-experts/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"1000+ customers","/our-projects-2/","Production-derived content plus imported-demo indicators: Ivey School demo","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Skyline Hub","/our-projects-2/","Production-derived content plus imported-demo indicators: Ivey School demo","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1000+ customers","/our-projects/","Production-derived content plus imported-demo indicators: Ivey School demo","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/our-projects/","Production-derived content plus imported-demo indicators: Ivey School demo","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1000+ customers","/our-team/","Production-derived content plus imported-demo indicators: Vincent Pham/P.","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Vincent P.","/our-team/","Production-derived content plus imported-demo indicators: Vincent Pham/P.","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"1000+ Ceilings Installed","/plaster-ceiling-contractor-kl/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"4.9/5 Client Rating","/plaster-ceiling-contractor-kl/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"10 Years Experience","/plaster-ceiling-contractor-kl/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"Flawless Finishing Guarantee","/plaster-ceiling-contractor-kl/","Present in production-derived content; no owner evidence was supplied. Removed from native Batch 2 output.","REMOVED_FROM_BATCH_2_OUTPUT","Keep excluded unless owner-approved evidence is supplied."
"Vincent Pham","/portfolio/axis-industrial-park/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Axis Industrial Park","/portfolio/axis-industrial-park/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Axis Industrial Park","/portfolio/axis-industrial-park/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/building-a-sustainable-tomorrow/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/building-a-sustainable-tomorrow/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Building a Sustainable Tomorrow","/portfolio/building-a-sustainable-tomorrow/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/building-excellence-through-innovation/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/building-excellence-through-innovation/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Building Excellence Through Innovation","/portfolio/building-excellence-through-innovation/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/crafting-landmark-construction-projects/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/crafting-landmark-construction-projects/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Crafting Landmark Construction Projects","/portfolio/crafting-landmark-construction-projects/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/cutting-edge-strategies-for-building-success/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/cutting-edge-strategies-for-building-success/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Cutting-Edge Strategies for Building Success","/portfolio/cutting-edge-strategies-for-building-success/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/designing-the-future-of-urban-spaces/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/designing-the-future-of-urban-spaces/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Designing the Future of Urban Spaces","/portfolio/designing-the-future-of-urban-spaces/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/expert-solutions-for-modern-structures/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/expert-solutions-for-modern-structures/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Expert Solutions for Modern Structures","/portfolio/expert-solutions-for-modern-structures/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/innovating-the-next-generation-of-architecture/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/innovating-the-next-generation-of-architecture/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Innovating the Next Generation of Architecture","/portfolio/innovating-the-next-generation-of-architecture/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/innovative-approaches-to-construction-excellence/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/innovative-approaches-to-construction-excellence/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Innovative Approaches to Construction Excellence","/portfolio/innovative-approaches-to-construction-excellence/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/innovative-construction-project-showcase/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/innovative-construction-project-showcase/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Innovative Construction Project Showcase","/portfolio/innovative-construction-project-showcase/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/mastering-construction-with-precision/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/mastering-construction-with-precision/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Mastering Construction with Precision","/portfolio/mastering-construction-with-precision/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/oakwood-residence/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"Oakwood Residence","/portfolio/oakwood-residence/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Oakwood Residence","/portfolio/oakwood-residence/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/pioneering-solutions-for-architectural-excellence/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/pioneering-solutions-for-architectural-excellence/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Pioneering Solutions for Architectural Excellence","/portfolio/pioneering-solutions-for-architectural-excellence/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/precision-craftsmanship-in-construction/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/precision-craftsmanship-in-construction/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Precision Craftsmanship in Construction","/portfolio/precision-craftsmanship-in-construction/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/revolutionary-techniques-in-modern-construction/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/revolutionary-techniques-in-modern-construction/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Revolutionary Techniques in Modern Construction","/portfolio/revolutionary-techniques-in-modern-construction/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/shaping-tomorrows-built-environment/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"The Ivey School of Business","/portfolio/shaping-tomorrows-built-environment/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
"RK Reno completed project: Shaping Tomorrow’s Built Environment","/portfolio/shaping-tomorrows-built-environment/","Repeated Ivey/Vastcon/Vincent/Alten demo copy; no Malaysian project evidence.","IMPORTED_DEMO_CONTENT","Do not present as RK Reno work; proposed 410 unless owner disproves demo finding."
"Vincent Pham","/portfolio/skyline-hub/","Production-derived content plus imported-demo indicators: Vastcon, Vincent Pham/P., Ivey School demo, Alten/ECOM demo, Lorem ipsum","IMPORTED_DEMO_CONTENT","Remove the imported claim with the demo route/content."
