Route,Page type,Area,WordPress state,Astro before,Correction made,Astro after,Remaining difference,Reason
"/house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","Article","Article and image treatment","Selangor extension guide with table, callouts, sidebar and property image","Full-width presentation","Restored content/sidebar proportions and preserved full local guide content","Table and heading counts match","SOURCE_IMAGE_UNAVAILABLE","Current source photograph is unavailable and unsupported warranty wording remains excluded"
"/office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/","Article","Article and sidebar","Office guide with image, cost table, CTA and sidebar","Full-width presentation","Restored narrow article column, source-like sidebar and exact localized office image","Content and table counts match","TECHNICAL_PLATFORM_DIFFERENCE","Static Astro sidebar search is intentionally disabled on staging"
"/office-renovation-petaling-jaya-corporate-fit-out-experts/","Article","Article and sidebar","Petaling Jaya guide with image, fit-out table and sidebar","Full-width presentation","Restored source-like content/sidebar layout and exact localized office image","Content and table counts match","TECHNICAL_PLATFORM_DIFFERENCE","Static Astro sidebar search is intentionally disabled on staging"
"/pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/","Article","Malay package guide","Long Malay guide with package table, five FAQs, multiple images and sidebar","Full-width presentation with approved local imagery","Restored source-like column proportions, sidebar, complete Malay body, table and FAQs","Heading, table and FAQ counts match","SOURCE_IMAGE_UNAVAILABLE","Several current WordPress package images remain unavailable; closest localized cleaning imagery is retained"
"/plaster-ceiling-contractor-kl-the-ultimate-design-pricing-guide-2026/","Article","Article and sidebar","Plaster guide with exact image, pricing table, callouts and sidebar","Full-width presentation","Restored source-like content/sidebar proportions and exact localized plaster-ceiling image","Heading and table counts match","TECHNICAL_PLATFORM_DIFFERENCE","Static Astro sidebar search is intentionally disabled on staging"
"/pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/","Article","Article and sidebar","PU injection guide with image, price table, callouts and sidebar","Full-width presentation","Restored source-like content width, sidebar and localized waterproofing image","Safe body and table remain complete","SAFE_DEMO_EXCLUSION","Written warranty and free lifetime-style repair promise remain excluded"
"/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","Article","Malay/English aircond guide","Aircond service guide with table, callouts and sidebar","Full-width presentation with approved owner image","Restored source-like column layout, table containment, sidebar and related aircond links","Safe article body remains complete","SAFE_DEMO_EXCLUSION","90-day warranty and satisfaction language remain excluded"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Article","Malay cleaning guide","Cleaning guide with image, pricing table, callouts and sidebar","Full-width presentation","Restored source-like article/sidebar proportions and localized cleaning image","Heading and table counts match","SAFE_DEMO_EXCLUSION","Unsupported satisfaction guarantee remains excluded"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","Article","Long Malay price guide","Very long Malay guide with eight FAQs, installation imagery and sidebar","Full-width presentation with approved owner images","Restored source-like width, sidebar and all headings, FAQs, prices and links","Heading and FAQ counts match","SOURCE_IMAGE_UNAVAILABLE","Several exact source images remain unavailable; approved owner aircond imagery is retained"
"/waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/","Article","Article and sidebar","Waterproofing guide with image, price table, callouts and sidebar","Full-width presentation","Restored source-like content/sidebar layout and localized waterproofing image","Heading and table counts match","SAFE_DEMO_EXCLUSION","Fixed one-to-ten-year warranty and free-repair promise remain excluded"
