"Route","Area","Astro before","Correction applied","Intentional safe difference","Astro after","Remaining issue"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","Content and section depth","1790 chars / 4117px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","7721 chars / 13666px","No blocker beyond documented intentional safe differences"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","Heading structure","15 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","29 headings","No blocker beyond documented intentional safe differences"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","Desktop layout","DIFFERENT","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
"/upah-pasang-aircond-selangor-panduan-harga-pemasangan-2026/","SEO and H1","SAFE_DIFFERENCE / SAFE_DIFFERENCE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Newer approved owner media replaces older neutral WordPress imagery; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","MATCH / MATCH","No blocker beyond documented intentional safe differences"
"/service/building-renovation/","Content and section depth","1157 chars / 3251px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","2700 chars / 3765px","No blocker beyond documented intentional safe differences"
"/service/building-renovation/","Heading structure","11 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","11 headings","No blocker beyond documented intentional safe differences"
"/service/building-renovation/","Desktop layout","CLOSE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
"/service/building-renovation/","SEO and H1","MATCH / MATCH","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","MATCH / MATCH","No blocker beyond documented intentional safe differences"
"/electrical-services-selangor/","Content and section depth","1778 chars / 3689px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","3678 chars / 5327px","No blocker beyond documented intentional safe differences"
"/electrical-services-selangor/","Heading structure","12 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","18 headings","No blocker beyond documented intentional safe differences"
"/electrical-services-selangor/","Desktop layout","CLOSE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
"/electrical-services-selangor/","SEO and H1","MATCH / MATCH","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","MATCH / MATCH","No blocker beyond documented intentional safe differences"
"/house-renovation-in-kuala-lumpur/","Content and section depth","1775 chars / 4415px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","5674 chars / 9607px","No blocker beyond documented intentional safe differences"
"/house-renovation-in-kuala-lumpur/","Heading structure","16 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","37 headings","No blocker beyond documented intentional safe differences"
"/house-renovation-in-kuala-lumpur/","Desktop layout","CLOSE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
"/house-renovation-in-kuala-lumpur/","SEO and H1","SAFE_DIFFERENCE / MATCH","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","MATCH / MATCH","No blocker beyond documented intentional safe differences"
"/house-renovation-in-selangor/","Content and section depth","1697 chars / 4387px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","5462 chars / 9315px","No blocker beyond documented intentional safe differences"
"/house-renovation-in-selangor/","Heading structure","16 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","36 headings","No blocker beyond documented intentional safe differences"
"/house-renovation-in-selangor/","Desktop layout","CLOSE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
"/house-renovation-in-selangor/","SEO and H1","SAFE_DIFFERENCE / MATCH","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","MATCH / MATCH","No blocker beyond documented intentional safe differences"
"/home-renovation-contractor-in-subang-jaya/","Content and section depth","1354 chars / 3842px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","2222 chars / 3897px","No blocker beyond documented intentional safe differences"
"/home-renovation-contractor-in-subang-jaya/","Heading structure","15 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","12 headings","No blocker beyond documented intentional safe differences"
"/home-renovation-contractor-in-subang-jaya/","Desktop layout","CLOSE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
"/home-renovation-contractor-in-subang-jaya/","SEO and H1","MATCH / MATCH","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","MATCH / MATCH","No blocker beyond documented intentional safe differences"
"/office-renovation-in-kuala-lumpur/","Content and section depth","1188 chars / 3280px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","6892 chars / 10620px","No blocker beyond documented intentional safe differences"
"/office-renovation-in-kuala-lumpur/","Heading structure","11 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","41 headings","No blocker beyond documented intentional safe differences"
"/office-renovation-in-kuala-lumpur/","Desktop layout","DIFFERENT","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
"/office-renovation-in-kuala-lumpur/","SEO and H1","SAFE_DIFFERENCE / MATCH","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","MATCH / MATCH","No blocker beyond documented intentional safe differences"
"/waterproofing-contractor-kuala-lumpur/","Content and section depth","1428 chars / 3805px","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","2522 chars / 4323px","No blocker beyond documented intentional safe differences"
"/waterproofing-contractor-kuala-lumpur/","Heading structure","14 headings","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","13 headings","No blocker beyond documented intentional safe differences"
"/waterproofing-contractor-kuala-lumpur/","Desktop layout","CLOSE","WordPress blue/orange typography and shared chrome restored; semantic section order and long-form content restored; useful links, tables, FAQs, cards, imagery and CTA roles restored where safe","Unsupported claims, counters, testimonials, warranties, ratings and exact prices excluded; Elementor/plugin/ecommerce/comment/newsletter markup excluded; Visible content restored without source-page CSS/code debris; Accessibility-valid single primary H1 retained where WordPress repeats H1 in footer CTA","CLOSE","No blocker beyond documented intentional safe differences"
