"Route","Current image","Image purpose","Local or remote","General service image","Verified RK Reno project image","Image quality","Duplicate image usage","Owner replacement recommended","Required photo subject","Priority","Blocking production","Notes","Owner media resolution"
"/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","/assets/media/owner/rk-reno-aircond-indoor-unit-service-access-960.webp","Article illustration","LOCAL","NO","OWNER-SUPPLIED - COMPLETED PROJECT NOT CLAIMED","GOOD","6 retained routes use this asset","NO","Aircond installation and servicing","RECOMMENDED_AFTER_LAUNCH","NO","Reviewed owner-supplied aircond imagery. Metadata was stripped; no customer, completed-project, or location claim is made.","RESOLVED_WITH_OWNER_MEDIA"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","/assets/media/detailed-kitchen-cleaning-kl-67669628.jpg","Article illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","5 retained routes use this asset","YES","Cleaning work and before-and-after results","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/servis-cuci-rumah-kl/","/assets/media/detailed-kitchen-cleaning-kl-67669628.jpg","Page/hero illustration","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","5 retained routes use this asset","YES","Cleaning work and before-and-after results","RECOMMENDED_AFTER_LAUNCH","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/thank-you/","No substantive image","Page/hero illustration","NOT_APPLICABLE","NO","NO - NOT OWNER VERIFIED","NOT_APPLICABLE","NOT_APPLICABLE","OPTIONAL","Team or worksite images","OPTIONAL_IMPROVEMENT","NO","No photography is required for the current utility presentation.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/category/commercial/","/assets/media/Renovation-contractor-for-commercial-buildings-93583952.jpg","Article-card preview","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","5 retained routes use this asset","OPTIONAL","Office renovation and fit-out work","OPTIONAL_IMPROVEMENT","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/category/hvac-guides/","/assets/media/Plaster-ceiling-and-aircond-installation-dd789b38.jpg","Article-card preview","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","6 retained routes use this asset","OPTIONAL","Team or worksite images","OPTIONAL_IMPROVEMENT","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","PARTIALLY_RESOLVED"
"/category/maintenance/","/assets/media/detailed-kitchen-cleaning-kl-67669628.jpg","Article-card preview","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","5 retained routes use this asset","OPTIONAL","Team or worksite images","OPTIONAL_IMPROVEMENT","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","PARTIALLY_RESOLVED"
"/category/renovation/","/assets/media/Renovation-contractor-for-commercial-buildings-93583952.jpg","Article-card preview","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","5 retained routes use this asset","OPTIONAL","House renovation and before-and-after projects","OPTIONAL_IMPROVEMENT","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/category/servis-pembersihan/","/assets/media/detailed-kitchen-cleaning-kl-67669628.jpg","Article-card preview","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","5 retained routes use this asset","OPTIONAL","Cleaning work and before-and-after results","OPTIONAL_IMPROVEMENT","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/category/technical-guides/","/assets/media/Plaster-ceiling-and-aircond-installation-dd789b38.jpg","Article-card preview","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","6 retained routes use this asset","OPTIONAL","Team or worksite images","OPTIONAL_IMPROVEMENT","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","PARTIALLY_RESOLVED"
"/tag/interior-finishing/","/assets/media/Renovation-contractor-for-commercial-buildings-93583952.jpg","Article-card preview","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","5 retained routes use this asset","OPTIONAL","Plaster ceiling installation and repair","OPTIONAL_IMPROVEMENT","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/tag/office-fit-out/","/assets/media/Office-renovation-service-in-Selangor-7928d19d.jpg","Article-card preview","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","4 retained routes use this asset","OPTIONAL","Office renovation and fit-out work","OPTIONAL_IMPROVEMENT","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
"/tag/waterproofing/","/assets/media/Bathroom-waterproofing-service-in-KL-3293ca94.jpg","Article-card preview","LOCAL","YES","NO - NOT OWNER VERIFIED","ACCEPTABLE","4 retained routes use this asset","OPTIONAL","Waterproofing inspection and repair","OPTIONAL_IMPROVEMENT","NO","Neutral imagery does not claim to be completed RK Reno work. Replace by subject group when verified owner photography is available.","STILL_RECOMMENDED_AFTER_LAUNCH"
