"Route","Page type","Validation group","Status","Difference fields"
"/commercial-retail-shop-renovation-in-kuala-lumpur/","Article","article","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/office-renovation-petaling-jaya-corporate-fit-out-experts/","Article","article","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/","Article","article","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/plaster-ceiling-contractor-kl-the-ultimate-design-pricing-guide-2026/","Article","article","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","Article","article","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","Article","article","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/","Article","article","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","Article","article","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/","Article","article","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/","Article","article","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/","Article","article","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","Article","article","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Article","article","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; missingImages; extraImages; missingLinks; extraLinks; missingButtons; extraButtons; missingForms; extraForms; missingCards; extraCards; wrongImages; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/servis-cuci-rumah-kl/","Service landing page","service","DIFFERENCE","extraSections; missingHeadings; extraHeadings; missingParagraphs; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; missingButtons; missingForms; extraAccordions; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/thank-you/","Thank-you utility","utility","DIFFERENCE","missingSections; extraSections; extraHeadings; extraLinks; missingCards; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/category/commercial/","Taxonomy archive","archive","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/category/hvac-guides/","Taxonomy archive","archive","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/category/maintenance/","Taxonomy archive","archive","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/category/renovation/","Taxonomy archive","archive","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/category/servis-pembersihan/","Taxonomy archive","archive","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/category/technical-guides/","Taxonomy archive","archive","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/tag/interior-finishing/","Taxonomy archive","archive","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/tag/office-fit-out/","Taxonomy archive","archive","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/tag/waterproofing/","Taxonomy archive","archive","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingLists; missingImages; extraImages; missingLinks; extraLinks; extraButtons; extraForms; missingCards; extraCards; wrongLinkDestinations; wrongFormFields; sidebarDifference; headerDifference; footerDifference; floatingActionDifference; extraSidebar; visualDifference; responsiveDifference; interactionDifference"
"/company-history/","Restored WordPress page","held","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; missingImages; extraImages; extraLinks; missingCards; extraCards; wrongImages; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/our-projects-2/","Restored WordPress page","held","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingImages; extraImages; extraLinks; extraButtons; missingCards; extraCards; wrongImages; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/our-projects/","Restored WordPress page","held","DIFFERENCE","missingSections; extraSections; extraHeadings; extraParagraphs; missingImages; extraImages; extraLinks; extraButtons; missingCards; extraCards; wrongImages; projectDifference; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/our-team/","Restored WordPress page","held","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingImages; extraImages; extraLinks; missingCards; extraCards; wrongImages; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/testimonials/","Restored WordPress page","held","DIFFERENCE","missingSections; extraSections; missingHeadings; extraHeadings; extraParagraphs; missingImages; extraImages; extraLinks; missingButtons; extraButtons; missingCards; extraCards; wrongImages; headerDifference; footerDifference; floatingActionDifference; visualDifference; responsiveDifference; interactionDifference"
"/demolition-contractor-kl-selangor/","New service page","","NEW_PAGE",""
