"Route","WordPress section","WordPress heading","WordPress content summary","Astro equivalent","Difference","Safe or unsafe difference","Correction required","Correction completed","Reason"
"/waterproofing-contractor-kuala-lumpur-the-complete-guide-to-stopping-leaks-2026/","Complete genuine page body","Waterproofing Contractor Kuala Lumpur: The Complete Guide to Stopping Leaks (2026)","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/plaster-ceiling-contractor-kl-the-ultimate-design-pricing-guide-2026/","Complete genuine page body","Plaster Ceiling Contractor KL: The Ultimate Design & Pricing Guide (2026)","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","Complete genuine page body","Aircond Installation KL The Ultimate 2026 Guide – RK Reno Solution","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/aircond-installation-kl-the-ultimate-2026-guide-rk-reno-solution/","Service imagery","Aircond Installation KL The Ultimate 2026 Guide – RK Reno Solution","WordPress imagery and placement reviewed.","Approved owner WebP derivatives in comparable roles","Approved owner media replaces older neutral WordPress imagery.","SAFE","NO","YES","Owner-approved first-party media is a safer and more accurate representation."
"/electrical-services-selangor-the-complete-safety-pricing-guide-2026-edition/","Complete genuine page body","Electrical Services Selangor: The Complete Safety & Pricing Guide (2026 Edition)","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/house-renovation-in-kuala-lumpur-the-ultimate-planning-cost-guide-2026/","Complete genuine page body","House Renovation in Kuala Lumpur: The Ultimate Planning & Cost Guide (2026)","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/house-renovation-in-selangor-the-ultimate-2026-guide-to-extending-your-home/","Complete genuine page body","House Renovation in Selangor: The Ultimate 2026 Guide to Extending Your Home","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/office-renovation-in-kuala-lumpur-the-2026-corporate-guide-to-productivity/","Complete genuine page body","Office Renovation in Kuala Lumpur: The 2026 Corporate Guide to Productivity","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/pakej-deep-cleaning-rumah-kl-termasuk-pre-hari-raya/","Complete genuine page body","Pakej Deep Cleaning Rumah KL (Termasuk Pre-Hari Raya)","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/pu-injection-waterproofing-kl-how-to-fix-wall-cracks-permanently/","Complete genuine page body","PU Injection Waterproofing KL: How to Fix Wall Cracks Permanently","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","Complete genuine page body","Servis Aircond Murah KL: The Ultimate 2026 Guide to a Colder Home","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/servis-aircond-murah-kl-the-ultimate-2026-guide-to-a-colder-home/","Service imagery","Servis Aircond Murah KL: The Ultimate 2026 Guide to a Colder Home","WordPress imagery and placement reviewed.","Approved owner WebP derivatives in comparable roles","Approved owner media replaces older neutral WordPress imagery.","SAFE","NO","YES","Owner-approved first-party media is a safer and more accurate representation."
"/servis-cuci-rumah-kl-the-ultimate-2026-guide-to-a-spotless-home/","Complete genuine page body","Servis Cuci Rumah KL: The Ultimate 2026 Guide to a Spotless Home","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/servis-cuci-rumah-kl/","Complete genuine page body","Servis Cuci Rumah KL","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/thank-you/","Complete genuine page body","Thank You","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/category/commercial/","Complete genuine page body","Commercial","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/category/hvac-guides/","Complete genuine page body","HVAC Guides","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/category/maintenance/","Complete genuine page body","Maintenance","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/category/renovation/","Complete genuine page body","Renovation","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/category/servis-pembersihan/","Complete genuine page body","Servis Pembersihan","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/category/technical-guides/","Complete genuine page body","Technical Guides","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/tag/interior-finishing/","Complete genuine page body","Interior Finishing","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/tag/office-fit-out/","Complete genuine page body","Office Fit-Out","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
"/tag/waterproofing/","Complete genuine page body","Waterproofing","Full rendered content, section order, headings, service details, useful links and CTA purpose reviewed at 1440/768/390.","Native Astro route with the same path and preserved business/search intent","WordPress framework, repeated footer H1, plugin markup and unsupported claims are omitted.","SAFE","NO","YES","All genuine sections are represented; excluded material is not genuine RK Reno evidence."
